    PID TTY      STAT   TIME COMMAND
  12775 ?        S      0:00 sshd: tim@pts/6
  12776 pts/6    Ss     0:00 -bash
  12785 pts/6    S+     0:00 sudo -i
  12786 pts/7    Ss     0:00 sudo -i
  12787 pts/7    S      0:00 -bash
  12804 pts/7    S+     0:00 script session.log
  12805 pts/8    Ss     0:00 bash -i
  12936 ?        I      0:00 [kworker/1:3-events]
  13036 ?        I      0:00 [kworker/u4:3-events_unbound]
  13175 ?        I      0:00 [kworker/0:1-cgroup_destroy]
  13197 ?        I      0:00 [kworker/1:0-cgroup_destroy]
  13211 ?        I      0:00 [kworker/0:2-cgroup_destroy]
  13704 ?        I      0:00 [kworker/1:1]
  13705 pts/8    R+     0:00 ps ax
